config_name,retrieval_method,use_rerank,prompt_type,question,gold_answer,generated_answer,top_context,em,f1
BM25 + Standard,bm25,False,standard,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?,"""Reducibility Among Combinatorial Problems""",paper money,"Islamists have asked the question, ""If Islam is a way of life, how can we say that those who want to live by its principles in legal, social, political, economic, and political spheres of life are not Muslims, but Islamists and believe in Islamism, not [just] Islam?"" Similarly, a writer for the International Crisis Group maintains that ""the conception of 'political Islam'"" is a creation of Americans to explain the Iranian Islamic Revolution and apolitical Islam was a historical fluke of the ""short-lived era of the heyday of secular Arab nationalism between 1945 and 1970"", and it is quietist/non-political Islam, not Islamism, that requires explanation.",0,0.0
BM25 + Standard,bm25,False,standard,What Lake in a German island Mainau receives a fraction of the Rhine's flow?,Lake Überlingen,Lake Constance,"The flow of cold, gray mountain water continues for some distance into the lake. The cold water flows near the surface and at first doesn't mix with the warmer, green waters of Upper Lake. But then, at the so-called Rheinbrech, the Rhine water abruptly falls into the depths because of the greater density of cold water. The flow reappears on the surface at the northern (German) shore of the lake, off the island of Lindau. The water then follows the northern shore until Hagnau am Bodensee. A small fraction of the flow is diverted off the island of Mainau into Lake Überlingen. Most of the water flows via the Constance hopper into the Rheinrinne (""Rhine Gutter"") and Seerhein. Depending on",0,0.5
BM25 + Standard,bm25,False,standard,What studio does ABC own at 1500 Broadway in NYC?,Times Square Studios,ABC owns,"ABC also owns the Times Square Studios at 1500 Broadway on land in Times Square owned by a development fund for the 42nd Street Project; opened in 1999, Good Morning America and Nightline are broadcast from this particular facility. ABC News has premises a little further on West 66th Street, in a six-story building occupying a 196 feet (60 m) × 379 feet (116 m) plot at 121–135 West End Avenue. The block of West End Avenue housing the ABC News building was renamed Peter Jennings Way in 2006 in honor of the recently deceased longtime ABC News chief anchor and anchor of World News Tonight.",0,0.0
BM25 + Standard,bm25,False,standard,How many fraternities are apart of the university?,fifteen,"MHC makeup on the surface of those cells is altered and the NK cells become activated through recognition of ""missing self.""","There are fifteen fraternities and seven sororities at the University of Chicago, as well as one co-ed community service fraternity, Alpha Phi Omega. Four of the sororities are members of the National Panhellenic Conference, and ten of the fraternities form the University of Chicago Interfraternity Council. In 2002, the Associate Director of Student Activities estimated that 8–10 percent of undergraduates were members of fraternities or sororities. The student activities office has used similar figures, stating that one in ten undergraduates participate in Greek life.",0,0.0
BM25 + Standard,bm25,False,standard,At what address did Goldenson secure a new headquarters for ABC?,1330 Avenue of the Americas in Manhattan,1330 Avenue of the Americas,"three recently married couples who guessed the responses to their partner's questions (some of which were fairly risque). As ABC began to outgrow its facilities at 7 West 66th Street, Goldenson found a new headquarters for ABC in a 44 story building located at 1330 Avenue of the Americas in Manhattan, at the corner of 54th Street (now occupied by The Financial Times's New York office). This operation allowed for the conversion of the premises at 66th Street into production facilities for television and radio programs.",0,0.8333333333333333
BM25 + Standard,bm25,False,standard,Who had established the Russian empire to its former glory prior to 1921?,Bolshevik leaders,Subutai had a large wooden platform constructed on which he ate his meals along with his other generals.,"Paramount Television prior to 1986 (as Miller-Milkis, and later, Miller-Milkis-Boyett Productions), had earlier produced Happy Days and its various spinoffs among other series for the network.",0,0.0
BM25 + Standard,bm25,False,standard,What does the Riemann hypothesis state the source of irregularity in the distribution of points comes from?,random noise,"Nozick recognized that some modern economic inequalities were the result of forceful taking of property, and a certain amount of redistribution would be justified to compensate for this force but not because of the inequalities themselves.","The unproven Riemann hypothesis, dating from 1859, states that except for s = −2, −4, ..., all zeroes of the ζ-function have real part equal to 1/2. The connection to prime numbers is that it essentially says that the primes are as regularly distributed as possible.[clarification needed] From a physical viewpoint, it roughly states that the irregularity in the distribution of primes only comes from random noise. From a mathematical viewpoint, it roughly states that the asymptotic distribution of primes (about x/log x of numbers less than x are primes, the prime number theorem) also holds for much shorter intervals of length about the square root of x (for intervals near x). This hypothesis is generally believed to be correct.",0,0.0
BM25 + Standard,bm25,False,standard,Which work of Luther's is effective in teaching children?,Small Catechism,predestination,"Luther's Small Catechism proved especially effective in helping parents teach their children; likewise the Larger Catechism was effective for pastors. Using the German vernacular, they expressed the Apostles' Creed in simpler, more personal, Trinitarian language. He rewrote each article of the Creed to express the character of the Father, the Son, or the Holy Spirit. Luther's goal was to enable the catechumens to see themselves as a personal object of the work of the three persons of the Trinity, each of which works in the catechumen's life. That is, Luther depicted the Trinity not as a doctrine to be learned, but as persons to be known. The Father creates, the Son redeems, and the Spirit sanctifies, a divine unity with",0,0.0
BM25 + Standard,bm25,False,standard,How was the civil disobedience shown in Antigone?,obey her conscience rather than human law,"Civil Disobedience""","Some theories of civil disobedience hold that civil disobedience is only justified against governmental entities. Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects ""a larger challenge to the legal system that permits those decisions to be taken"". The same principle, she argues, applies to breaches of law in protest against international organizations and foreign governments.",0,0.0
BM25 + Standard,bm25,False,standard,Where do juvenile platyctenids live?,among the plankton,stroma,her conscience will smite her if she does not do this.,0,0.0
BM25 + Standard,bm25,False,standard,How often are elections held for the Victorian Parliament?,every four years,every four years,"In November 2006, the Victorian Legislative Council elections were held under a new multi-member proportional representation system. The State of Victoria was divided into eight electorates with each electorate represented by five representatives elected by Single Transferable Vote. The total number of upper house members was reduced from 44 to 40 and their term of office is now the same as the lower house members—four years. Elections for the Victorian Parliament are now fixed and occur in November every four years. Prior to the 2006 election, the Legislative Council consisted of 44 members elected to eight-year terms from 22 two-member electorates.",1,1.0
BM25 + Standard,bm25,False,standard,What magnetic and electric force acts on a charge?,unified electromagnetic,George Westinghouse,"Through combining the definition of electric current as the time rate of change of electric charge, a rule of vector multiplication called Lorentz's Law describes the force on a charge moving in a magnetic field. The connection between electricity and magnetism allows for the description of a unified electromagnetic force that acts on a charge. This force can be written as a sum of the electrostatic force (due to the electric field) and the magnetic force (due to the magnetic field). Fully stated, this is the law:",0,0.0
BM25 + Standard,bm25,False,standard,What kinds of growth did Kublai encourage?,"commercial, scientific, and cultural",lace with Mechlin patterns on Lille ground,"""combination of Mechlin patterns on Lille ground"", is fallacious: what is now known as Mechlin lace did not develop until first half of the eighteenth century and lace with Mechlin patterns and Lille ground did not appear until the end of the 18th century, when it was widely copied throughout Europe.",0,0.0
BM25 + Standard,bm25,False,standard,What was the name of the first episode of the new Doctor Who series?,Rose,"The head of drama, Canadian Sydney Newman, was mainly responsible for developing the programme, with the first format document for the series being written by Newman along with the head of the script department (later head of serials) Donald Wilson and staff writer C. E. Webber. Writer Anthony Coburn, story editor David Whita","20th Anniversary special The Five Doctors, the First Doctor enquires as to the Fifth Doctor's regeneration; when the Fifth Doctor confirms ""Fourth"", the First Doctor excitedly replies ""Goodness me. So there are five of me now."" In 2010, the Eleventh Doctor similarly calls himself ""the Eleventh"" in ""The Lodger"". In the 2013 episode ""The Time of the Doctor,"" the Eleventh Doctor clarified he was the product of the twelfth regeneration, due to a previous incarnation which he chose not to count and one other aborted regeneration. The name Eleventh is still used for this incarnation; the same episode depicts the prophesied ""Fall of the Eleventh"" which had been trailed throughout the series.",0,0.0
BM25 + Standard,bm25,False,standard,Each of the extended metropolitan areas has a population that exceeds what number?,five million,metropolitan area,"According to the UK Government's returned 2001 census information, the city of Newcastle had a population of 189,863, whereas the metropolitan borough of Newcastle had a population of around 259,000. Newcastle has a population of 282,442 according to the Office for National Statistics. The metropolitan boroughs of North Tyneside (population circa 201,000), South Tyneside (population circa 148,000) and Gateshead (population circa 201,000) are, along with Newcastle, all part of the Tyneside conurbation (population circa 880,000). The metropolitan county of Tyne and Wear, which consists of the four aforementioned boroughs as well as the City of Sunderland (population circa 275,000), had a population of around 1,076,000 and the Tyne and Wear City Region which also includes North Durham, South East Northumberland",0,0.0
BM25 + Standard,bm25,False,standard,Why is giving a defiant speech sometimes more harmful for the individual?,lack of remorse,"""","Some civil disobedience defendants choose to make a defiant speech, or a speech explaining their actions, in allocution. In U.S. v. Burgos-Andujar, a defendant who was involved in a movement to stop military exercises by trespassing on U.S. Navy property argued to the court in allocution that ""the ones who are violating the greater law are the members of the Navy"". As a result, the judge increased her sentence from 40 to 60 days. This action was upheld because, according to the U.S. Court of Appeals for the First Circuit, her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions. Some of the other allocution speeches",0,0.0
BM25 + Standard,bm25,False,standard,When were Joseph Schumpeter and Norman Angell at their most prolific writing period?,before World War I,were at their most prolific before World War I,"The correlation between capitalism, aristocracy, and imperialism has long been debated among historians and political theorists. Much of the debate was pioneered by such theorists as J. A. Hobson (1858–1940), Joseph Schumpeter (1883–1950), Thorstein Veblen (1857–1929), and Norman Angell (1872–1967). While these non-Marxist writers were at their most prolific before World War I, they remained active in the interwar years. Their combined work informed the study of imperialism and it's impact on Europe, as well as contributed to reflections on the rise of the military-political complex in the United States from the 1950s. Hobson argued that domestic social reforms could cure the international disease of imperialism by removing its economic foundation. Hobson theorized that state intervention through taxation could boost",0,0.6153846153846153
BM25 + Standard,bm25,False,standard,How do competing businesses attract workers?,offering a higher wage,Burnet's theory,"Many counties offer alternative licensing programs to attract people into teaching, especially for hard-to-fill positions. Excellent job opportunities are expected as retirements, especially among secondary school teachers, outweigh slowing enrollment growth; opportunities will vary by geographic area and subject taught.[citation needed]",0,0.0
BM25 + Standard,bm25,False,standard,How many teams up to Super Bowl 50 have been to the championship game eight times?,four,57).,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.",0,0.0
BM25 + Standard,bm25,False,standard,What plants create most electric power?,steam turbine,steam turbine plant,land plants evolved to have many small chloroplasts instead of a few big ones. Chloroplast movement is considered one of the most closely regulated stimulus-response systems that can be found in plants. Mitochondria have also been observed to follow chloroplasts as they move.,0,0.8
BM25 + Standard,bm25,False,standard,The epidemic in Newcastle was the most what in any British city at the time?,devastating loss,NE1fm,Antiquaries that 47% of the then population of Newcastle died from the epidemic; this may also have been the most devastating loss in any British City in this period.,0,0.0
BM25 + Standard,bm25,False,standard,"What additional srevice did BSkyB offer besides Video on Demand that they claimed offered ""substantially more value""?",HD channels,Virgin Media,"In 2007, BSkyB and Virgin Media became involved in a dispute over the carriage of Sky channels on cable TV. The failure to renew the existing carriage agreements negotiated with NTL and Telewest resulted in Virgin Media removing the basic channels from the network on 1 March 2007. Virgin Media claimed that BSkyB had substantially increased the asking price for the channels, a claim which BSkyB denied, on the basis that their new deal offered ""substantially more value"" by including HD channels and Video On Demand content which was not previously carried by cable.",0,0.0
BM25 + Standard,bm25,False,standard,Who did Tesla think would run the world of the future?,women,Queen Bees,"In 1926, Tesla commented on the ills of the social subservience of women and the struggle of women toward gender equality, and indicated that humanity's future would be run by ""Queen Bees."" He believed that women would become the dominant sex in the future.",0,0.0
BM25 + Standard,bm25,False,standard,What have many HT members graduated to joining?,terrorist groups,terrorist groups,"HT does not engage in armed jihad or work for a democratic system, but works to take power through ""ideological struggle"" to change Muslim public opinion, and in particular through elites who will ""facilitate"" a ""change of the government,"" i.e., launch a ""bloodless"" coup. It allegedly attempted and failed such coups in 1968 and 1969 in Jordan, and in 1974 in Egypt, and is now banned in both countries. But many HT members have gone on to join terrorist groups and many jihadi terrorists have cited HT as their key influence.",1,1.0
BM25 + Standard,bm25,False,standard,Approximately how many items are in the costume collection of the V&A?,"over 14,000",Castlereagh Inkstand,"The costume collection is the most comprehensive in Britain, containing over 14,000 outfits plus accessories, mainly dating from 1600 to the present. Costume sketches, design notebooks, and other works on paper are typically held by the Word and Image department. Because everyday clothing from previous eras has not generally survived, the collection is dominated by fashionable clothes made for special occasions. One of the first significant gifts of costume came in 1913 when the V&A received the Talbot Hughes collection containing 1,442 costumes and items as a gift from Harrods following its display at the nearby department store.",0,0.0
BM25 + Standard,bm25,False,standard,Which park is home to the Fresno Chafffee Zoo?,Roeding Park,meet,"Fresno has three large public parks, two in the city limits and one in county land to the southwest. Woodward Park, which features the Shinzen Japanese Gardens, numerous picnic areas and several miles of trails, is in North Fresno and is adjacent to the San Joaquin River Parkway. Roeding Park, near Downtown Fresno, is home to the Fresno Chaffee Zoo, and Rotary Storyland and Playland. Kearney Park is the largest of the Fresno region's park system and is home to historic Kearney Mansion and plays host to the annual Civil War Revisited, the largest reenactment of the Civil War in the west coast of the U.S.",0,0.0
BM25 + Standard,bm25,False,standard,The point at which different radiometric isotopes stop diffusing into and out of the crystal lattice is called what?,particular closure temperature,chlorophyll,"For many geologic applications, isotope ratios of radioactive elements are measured in minerals that give the amount of time that has passed since a rock passed through its particular closure temperature, the point at which different radiometric isotopes stop diffusing into and out of the crystal lattice. These are used in geochronologic and thermochronologic studies. Common methods include uranium-lead dating, potassium-argon dating, argon-argon dating and uranium-thorium dating. These methods are used for a variety of applications. Dating of lava and volcanic ash layers found within a stratigraphic sequence can provide absolute age data for sedimentary rock units which do not contain radioactive isotopes and calibrate relative dating techniques. These methods can also be used to determine ages of pluton emplacement.",0,0.0
BM25 + Standard,bm25,False,standard,What could someone be investigated for?,allegations of professional misconduct,a more general question about all possible algorithms that could be used to solve the same problem,"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",0,0.0
BM25 + Standard,bm25,False,standard,What are examples of economic actors?,"worker, capitalist/business owner, landlord",Chelsea porcelain and Worcester Porcelain being especially fine,"Building activity occurred in numerous noble palaces and churches during the later decades of the 17th century. One of the best examples of this architecture are Krasiński Palace (1677–1683), Wilanów Palace (1677–1696) and St. Kazimierz Church (1688–1692). The most impressive examples of rococo architecture are Czapski Palace (1712–1721), Palace of the Four Winds (1730s) and Visitationist Church (façade 1728–1761). The neoclassical architecture in Warsaw can be described by the simplicity of the geometrical forms teamed with a great inspiration from the Roman period. Some of the best examples of the neoclassical style are the Palace on the Water (rebuilt 1775–1795), Królikarnia (1782–1786), Carmelite Church (façade 1761–1783) and Evangelical Holy Trinity Church (1777–1782). The economic growth during the first years of",0,0.0
BM25 + Standard,bm25,False,standard,What field involves the study of the immune system?,Immunology,Vietnam War,systemic lupus erythematosus. Immunology covers the study of all aspects of the immune system.,0,0.0
BM25 + Standard,bm25,False,standard,What are the phagocytes that are located in tissues in contact with the external environment called?,Dendritic cells,Kenyans being the largest.,"Dendritic cells (DC) are phagocytes in tissues that are in contact with the external environment; therefore, they are located mainly in the skin, nose, lungs, stomach, and intestines. They are named for their resemblance to neuronal dendrites, as both have many spine-like projections, but dendritic cells are in no way connected to the nervous system. Dendritic cells serve as a link between the bodily tissues and the innate and adaptive immune systems, as they present antigens to T cells, one of the key cell types of the adaptive immune system.",0,0.0
BM25 + Standard,bm25,False,standard,What did the merchants of Newcastle plot to do to Timothy Dexter?,ruin him,The Clouded Yellow,"From 1530 a royal act restricted all shipments of coal from Tyneside to Newcastle Quayside, giving a monopoly in the coal trade to a cartel of Newcastle burgesses known as the Hostmen. This monopoly, which lasted for a considerable time, helped Newcastle prosper and develop into a major town. The phrase taking coals to Newcastle was first recorded contextually in 1538. The phrase itself means a pointless pursuit. In the 18th century American Timothy Dexter, an entrepreneur, widely regarded as an eccentric, defied this idiom. He was persuaded to sail a shipment of coal to Newcastle by merchants plotting to ruin him; however his shipment arrived on the Tyne during a strike that had crippled local production; unexpectedly he made",0,0.0
BM25 + Standard,bm25,False,standard,What job did Tesla's father have in Gospic?,pastor,Milka,"Starting in 1894, Tesla began investigating what he referred to as radiant energy of ""invisible"" kinds after he had noticed damaged film in his laboratory in previous experiments (later identified as ""Roentgen rays"" or ""X-Rays""). His early experiments were with Crookes tubes, a cold cathode electrical discharge tube. Soon after, much of Tesla's early research—hundreds of invention models, plans, notes, laboratory data, tools, photographs, valued at $50,000—was lost in the 5th Avenue laboratory fire of March 1895. Tesla is quoted by The New York Times as saying, ""I am in too much grief to talk. What can I say?"" Tesla may have inadvertently captured an X-ray image—predating, by a few weeks, Wilhelm Röntgen's December 1895 announcement of the discovery of",0,0.0
BM25 + Standard,bm25,False,standard,Which hotel did the Panthers stay at for the Super Bowl?,San Jose Marriott.,Panthers,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature",0,0.0
BM25 + Standard,bm25,False,standard,What are other alternative names for French and Indian War?,Fourth Intercolonial War and the Great War for the Empire,Braddock,"Spain ceded Florida to the British in 1763 after the French and Indian War, and the British soon constructed the King's Road connecting St. Augustine to Georgia. The road crossed the St. Johns River at a narrow point, which the Seminole called Wacca Pilatka and the British called the Cow Ford or Cowford; these names ostensibly reflect the fact that cattle were brought across the river there. The British introduced the cultivation of sugar cane, indigo and fruits as well the export of lumber. As a result, the northeastern Florida area prospered economically more than it had under the Spanish. Britain ceded control of the territory back to Spain in 1783, after its defeat in the American Revolutionary War, and",0,0.0
BM25 + Standard,bm25,False,standard,"Outside of its use of automobiles, what else is southern California famous for using?",highways,Southern California,"Southern California consists of a heavily developed urban environment, home to some of the largest urban areas in the state, along with vast areas that have been left undeveloped. It is the third most populated megalopolis in the United States, after the Great Lakes Megalopolis and the Northeastern megalopolis. Much of southern California is famous for its large, spread-out, suburban communities and use of automobiles and highways. The dominant areas are Los Angeles, Orange County, San Diego, and Riverside-San Bernardino, each of which is the center of its respective metropolitan area, composed of numerous smaller cities and communities. The urban area is also host to an international metropolitan region in the form of San Diego–Tijuana, created by the urban area",0,0.0
BM25 + Standard,bm25,False,standard,What was the last name of the designers of Newcastle's library?,Green,Romans,"powerful chiefdom known as the Saturiwa, centered around the mouth of the St. Johns River. One early map shows a village called Ossachite at the site of what is now downtown Jacksonville; this may be the earliest recorded name for that area.",0,0.0
BM25 + Standard,bm25,False,standard,How many people were on the test flight of the AS-206?,unmanned,"which led to ""natural motion"", and unnatural or forced motion, which required continued application of a force","a CSM and a LM Test Article as ballast. The intent of this mission was to achieve trans-lunar injection, followed closely by a simulated direct-return abort, using the Service Module engine to achieve another high-speed reentry. The Saturn V experienced pogo oscillation, a problem caused by non-steady engine combustion, which damaged fuel lines in the second and third stages. Two S-II engines shut down prematurely, but the remaining engines were able to compensate. The damage to the third stage engine was more severe, preventing it from restarting for trans-lunar injection. Mission controllers were able to use the Service Module engine to essentially repeat the flight profile of Apollo 4. Based on the good performance of Apollo 6 and identification of",0,0.0
BM25 + Standard,bm25,False,standard,What is the state average growth rate?,10.0%,"California's population of 22,680,010)","As of the 2010 United States Census, southern California has a population of 22,680,010. Despite a reputation for high growth rates, southern California's rate grew less than the state average of 10.0% in the 2000s as California's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region.",0,0.0
BM25 + Standard,bm25,False,standard,When was the study on sequenced Y genomes published?,October 2011,October 2011,"The results of the Haensch study have since been confirmed and amended. Based on genetic evidence derived from Black Death victims in the East Smithfield burial site in England, Schuenemann et al. concluded in 2011 ""that the Black Death in medieval Europe was caused by a variant of Y. pestis that may no longer exist."" A study published in Nature in October 2011 sequenced the genome of Y. pestis from plague victims and indicated that the strain that caused the Black Death is ancestral to most modern strains of the disease.",1,1.0
BM25 + Standard,bm25,False,standard,How many times prios has the Sun Life Stadium had Super Bowls?,10.,10,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010. The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers. The Miami bid depended on whether the stadium underwent renovations. However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.",1,1.0
BM25 + Standard,bm25,False,standard,What does Kitab Rudjdjar mean in English?,The Book of Roger,1050,"available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",0,0.0
BM25 + Standard,bm25,False,standard,"Name one country that banned boating, driving and flying on Sundays.",Germany,The UK,"Despite being relatively unaffected by the embargo, the UK nonetheless faced an oil crisis of its own - a series of strikes by coal miners and railroad workers over the winter of 1973–74 became a major factor in the change of government. Heath asked the British to heat only one room in their houses over the winter. The UK, Germany, Italy, Switzerland and Norway banned flying, driving and boating on Sundays. Sweden rationed gasoline and heating oil. The Netherlands imposed prison sentences for those who used more than their ration of electricity.",0,0.0
BM25 + Standard,bm25,False,standard,For how long did the plague stick around?,until the 19th century,"Plague occurred in Venice 22 times between 1361 and 1528. The plague of 1576–77 killed 50,000 in Venice, almost a third of the population.",The world population as a whole did not recover to pre-plague levels until the 17th century. The plague recurred occasionally in Europe until the 19th century.,0,0.07142857142857142
BM25 + Standard,bm25,False,standard,What channels were removed from the network in March of 2007?,basic channels,Tesla's,"In 2007, BSkyB and Virgin Media became involved in a dispute over the carriage of Sky channels on cable TV. The failure to renew the existing carriage agreements negotiated with NTL and Telewest resulted in Virgin Media removing the basic channels from the network on 1 March 2007. Virgin Media claimed that BSkyB had substantially increased the asking price for the channels, a claim which BSkyB denied, on the basis that their new deal offered ""substantially more value"" by including HD channels and Video On Demand content which was not previously carried by cable.",0,0.0
